ElecID,X,Y
11017,45.0,45.0
11018,75.0,45.0
11019,65.0,45.0
11020,45.0,55.0
11021,55.0,55.0
11022,65.0,55.0
11023,75.0,55.0
11024,45.0,65.0
11025,55.0,65.0
11026,65.0,65.0
11027,75.0,65.0
11028,55.0,75.0
11029,45.0,75.0
11030,75.0,75.0
11031,65.0,75.0
11032,45.0,15.0
11033,55.0,15.0
11034,65.0,15.0
11035,75.0,15.0
11036,55.0,5.0
11037,45.0,5.0
11038,75.0,5.0
11039,65.0,5.0
11040,55.0,35.0
11041,45.0,35.0
11042,75.0,35.0
11043,65.0,35.0
11044,45.0,25.0
11045,55.0,25.0
11046,65.0,25.0
11047,75.0,25.0
11048,5.0,15.0
11049,15.0,15.0
11050,25.0,15.0
11051,35.0,15.0
11052,15.0,5.0
11053,5.0,5.0
11054,35.0,5.0
11055,25.0,5.0
11056,15.0,35.0
11057,5.0,35.0
11058,35.0,35.0
11059,25.0,35.0
11060,5.0,25.0
11061,15.0,25.0
11062,25.0,25.0
11063,35.0,25.0
12000,15.0,125.0
12001,5.0,125.0
12002,35.0,125.0
12003,25.0,125.0
12004,5.0,135.0
12005,15.0,135.0
12006,25.0,135.0
12007,35.0,135.0
12008,5.0,145.0
12009,15.0,145.0
12010,25.0,145.0
12011,35.0,145.0
12012,15.0,155.0
12013,5.0,155.0
12014,35.0,155.0
12015,25.0,155.0
12016,55.0,125.0
12017,45.0,125.0
12018,75.0,125.0
12019,65.0,125.0
12020,45.0,135.0
12021,55.0,135.0
12022,65.0,135.0
12023,75.0,135.0
12024,45.0,145.0
12025,55.0,145.0
12026,65.0,145.0
12027,75.0,145.0
12028,55.0,155.0
12029,45.0,155.0
12030,75.0,155.0
12031,65.0,155.0
12032,45.0,95.0
12033,55.0,95.0
12034,65.0,95.0
12035,75.0,95.0
12036,55.0,85.0
12037,45.0,85.0
12038,75.0,85.0
12039,65.0,85.0
12040,55.0,115.0
12041,45.0,115.0
12042,75.0,115.0
12043,65.0,115.0
12044,45.0,105.0
12045,55.0,105.0
12046,65.0,105.0
12047,75.0,105.0
12048,5.0,95.0
12049,15.0,95.0
12050,25.0,95.0
12051,35.0,95.0
12052,15.0,85.0
12053,5.0,85.0
12054,35.0,85.0
